rank_tier,rank_range,deckAbilityName,winrate_pct,playrate_pct
4,7-1,Blaze of Glory,56.69,1.60
4,7-1,Blood Money,40.40,0.17
4,7-1,Blood Scent,42.86,0.84
4,7-1,Call of Harmony,43.86,0.95
4,7-1,Carapace,47.25,3.33
4,7-1,Congregate,53.17,2.15
4,7-1,Deadeye Ambush,48.29,1.64
4,7-1,Double Cross,40.54,4.22
4,7-1,Enslave,49.70,2.84
4,7-1,Force of Nature,48.86,1.97
4,7-1,Fruits of Ysgith,45.02,1.21
4,7-1,Guerilla Tactics,39.75,1.34
4,7-1,Hidden Cache,50.67,2.39
4,7-1,Imperial Formation,44.23,1.94
4,7-1,Imposter,46.55,4.30
4,7-1,Imprisonment,43.45,2.46
4,7-1,Inspired Zeal,47.20,1.63
4,7-1,Invigorate,33.71,0.29
4,7-1,Jackpot,40.14,0.12
4,7-1,Lined Pockets,37.71,0.22
4,7-1,Lockdown,46.30,4.19
4,7-1,Mahakam Forge,44.25,1.47
4,7-1,Mobilization,44.80,1.62
4,7-1,Nature's Gift,56.83,8.60
4,7-1,Off the Books,38.66,0.34
4,7-1,Onslaught,44.56,0.40
4,7-1,Overwhelming Hunger,52.06,6.68
4,7-1,Patricidal Fury,55.54,3.97
4,7-1,Pincer Maneuver,40.12,0.98
4,7-1,Pirate's Cove,45.02,0.27
4,7-1,Precision Strike,50.48,2.38
4,7-1,Rage of the Sea,63.45,6.31
4,7-1,Reckless Fury,48.42,0.70
4,7-1,Royal Inspiration,43.42,1.01
4,7-1,Shieldwall,55.11,10.38
4,7-1,Stockpile,38.81,0.60
4,7-1,Tactical Decision,41.21,3.41
4,7-1,Uprising,50.45,1.85
4,7-1,Ursine Ritual,48.79,2.51
4,7-1,White Frost,48.78,2.91
5,0,Arachas Swarm,45.56,1.77
5,0,Battle Trance,42.60,1.42
5,0,Blaze of Glory,52.60,1.67
5,0,Blood Money,45.22,0.21
5,0,Blood Scent,40.90,0.50
5,0,Call of Harmony,37.85,0.42
5,0,Carapace,48.65,4.58
5,0,Congregate,52.07,4.38
5,0,Deadeye Ambush,45.27,0.87
5,0,Double Cross,39.02,2.50
5,0,Enslave,48.69,2.50
5,0,Force of Nature,46.35,1.33
5,0,Fruits of Ysgith,44.18,0.39
5,0,Guerilla Tactics,38.92,0.49
5,0,Hidden Cache,49.38,4.28
5,0,Imperial Formation,41.43,1.50
5,0,Imposter,46.98,3.75
5,0,Imprisonment,41.49,0.84
5,0,Inspired Zeal,46.83,1.58
5,0,Invigorate,31.39,0.06
5,0,Jackpot,45.59,0.23
5,0,Lined Pockets,39.72,0.16
5,0,Lockdown,48.00,4.12
5,0,Mahakam Forge,42.88,1.31
5,0,Mobilization,47.72,1.56
5,0,Nature's Gift,52.53,10.86
5,0,Off the Books,37.91,0.27
5,0,Onslaught,46.08,0.12
5,0,Overwhelming Hunger,52.63,8.97
5,0,Patricidal Fury,53.25,3.74
5,0,Pincer Maneuver,36.95,0.26
5,0,Pirate's Cove,43.91,0.43
5,0,Precision Strike,50.31,5.03
5,0,Rage of the Sea,59.58,9.64
5,0,Reckless Fury,46.18,0.21
5,0,Royal Inspiration,41.28,0.35
5,0,Shieldwall,53.27,10.43
5,0,Stockpile,31.77,0.15
5,0,Tactical Decision,39.09,2.59
5,0,Uprising,50.05,0.73
5,0,Ursine Ritual,47.41,2.57
5,0,White Frost,44.41,1.19
