rank_tier,rank_range,deckAbilityName,winrate_pct,playrate_pct
3,14-Aug,Ursine Ritual,53.31,4.27
3,14-Aug,Vicious Slash,45.88,02.08
3,14-Aug,Wild Card,44.39,0.32
4,01-Jul,Arachas Swarm,51.02,2.81
4,01-Jul,Blaze of Glory,47.94,0.98
4,01-Jul,Blood Money,47.81,0.54
4,01-Jul,Blood Scent,49.98,1.82
4,01-Jul,Call of Harmony,44.18,0.5
4,01-Jul,Carapace,39.72,0.53
4,01-Jul,Congregate,52.38,1.42
4,01-Jul,Deadeye Ambush,53.5,4.65
4,01-Jul,Death's Shadow,48.05,4.98
4,01-Jul,Doulbe Cross,38.25,1.58
4,01-Jul,Enslave,48.71,2.74
4,01-Jul,Force of Nature,42.18,0.45
4,01-Jul,Fruits of Ysgith,50.68,1.2
4,01-Jul,Guerilla Tactics,41.45,1.23
4,01-Jul,Hidden Cache,58.86,11.58
4,01-Jul,Imperial Formation,47.6,4.77
4,01-Jul,Imposter,47.27,4.66
4,01-Jul,Inspired Zeal,45.31,1.16
4,01-Jul,Invigorate,32.9,0.29
4,01-Jul,Jackpot,43.01,0.12
4,01-Jul,Lined Pockets,38.53,0.2
4,01-Jul,Lockdown,47.92,5.74
4,01-Jul,Mahakam Forge,39.58,1.38
4,01-Jul,Mobilization,46.8,1.58
4,01-Jul,Mystic Echo,54.82,4.72
4,01-Jul,Off the Books,40.06,0.28
4,01-Jul,Onslaught,45.01,0.51
4,01-Jul,Overwhelming Hunger,43.6,03.04
4,01-Jul,Patricidal Fury,50.33,1.1
4,01-Jul,Pincer Maneuver,45.81,1.76
4,01-Jul,Precision Strike,51.03,1.66
4,01-Jul,Reckless Fury,47.06,0.67
4,01-Jul,Royal Inspiration,43.6,0.93
4,01-Jul,Sacraficial Vanguard,41.43,0.8
4,01-Jul,Second Wind,52.37,4.4
4,01-Jul,Stockpile,40.57,0.47
4,01-Jul,Strategic Withdrawal,37.3,2.18
4,01-Jul,Tactical Decision,48.44,3.11
4,01-Jul,Uprising,54.79,8.93
4,01-Jul,Ursine Ritual,51.5,6.95
4,01-Jul,Vicious Slash,47.89,1.18
4,01-Jul,Wild Card,46.74,0.4
5,0,Arachas Swarm,49.66,2.96
5,0,Blaze of Glory,44.95,0.74
5,0,Blood Money,49.87,0.35
5,0,Blood Scent,51.07,1.69
5,0,Call of Harmony,44.73,0.51
5,0,Carapace,40.5,0.34
5,0,Congregate,51.09,2.74
5,0,Deadeye Ambush,52.41,3.9
5,0,Death's Shadow,47.36,3.96
5,0,Doulbe Cross,39.38,1.1
5,0,Enslave,49.34,2.54
5,0,Force of Nature,41.02,0.22
5,0,Fruits of Ysgith,47.81,01.01
5,0,Guerilla Tactics,40.46,0.85
5,0,Hidden Cache,55.07,11.45
5,0,Imperial Formation,49.19,7.18
5,0,Imposter,46.04,2.19
5,0,Inspired Zeal,44.74,0.68
5,0,Invigorate,31.79,0.09
5,0,Jackpot,48.25,0.09
5,0,Lined Pockets,41.39,0.22
5,0,Lockdown,47.48,4.37
5,0,Mahakam Forge,37.88,0.68
5,0,Mobilization,46.45,1.26
5,0,Mystic Echo,54.18,7.89
5,0,Off the Books,43.16,0.13
5,0,Onslaught,44.28,0.34
5,0,Overwhelming Hunger,43.85,2.61
5,0,Patricidal Fury,49.12,0.92
5,0,Pincer Maneuver,46.27,0.91
5,0,Precision Strike,50.42,1.76
5,0,Reckless Fury,47.38,0.32
5,0,Royal Inspiration,44.38,0.34
5,0,Sacraficial Vanguard,39.76,0.64
5,0,Second Wind,52.09,7.39
5,0,Stockpile,39.72,0.22
5,0,Strategic Withdrawal,34.58,1.23
5,0,Tactical Decision,48.9,2.92
5,0,Uprising,52.79,12.1
5,0,Ursine Ritual,49.45,7.74
5,0,Vicious Slash,50.42,0.9
5,0,Wild Card,45.69,0.51
